mjd,filter,visit,detector,DBid,base_PsfFlux_flux,base_PsfFlux_mag,base_PsfFlux_fluxErr,base_PsfFlux_magErr,base_PsfFlux_instFlux,base_PsfFlux_instFluxErr,base_PsfFlux_area,base_PsfFlux_flag,base_PsfFlux_flux_res,base_PsfFlux_instFlux_res,base_PsfFlux_flux_pull,base_PsfFlux_instFlux_pull
60568.30176622454,i,665656,179,v665656_d179,,,,,,,30.696565628051758,1,,,,
60568.30221422338,i,665657,183,v665657_d183,-352.5191708615738,,316.6051561153362,0.9751233663899169,-533.8134312882087,479.4294311337296,31.024003982543945,0,-554.9551708615738,-840.358620056662,-1.7528304897833347,-1.7528306889074914
60568.32015222223,i,665696,172,v665696_d172,307.93359054513775,25.17885733512507,318.0555528080478,1.121425006595505,466.38665343758754,481.71702305655776,31.58416748046875,0,103.31659054513776,156.48009956830379,0.32483819141963277,0.32483821845326744
60586.19156922338,i,678507,133,v678507_d133,11592.253558683766,21.239580320150676,284.66877576985837,0.026662218407565844,17559.131918933017,431.1591341296989,33.537071228027344,0,440.8535586837661,667.7740229431656,1.5486544229922004,1.548787837444468
60586.2091632199,i,678546,97,v678546_d97,12148.368610216952,21.188705097581973,277.85914619967093,0.024833106776036274,18417.90058785304,421.2297549830095,33.48701477050781,0,990.4686102169526,1501.6298059166838,3.564642819082144,3.5648711615285884
60587.23074821991,i,679456,26,v679456_d26,11594.068617679313,21.239410334134412,292.098078072134,0.027353767616968106,17537.541659810246,441.8096659479262,41.314544677734375,0,103.36861767931259,156.35852250382231,0.35388325168570806,0.3539047118137327
60591.16761622454,i,682771,52,v682771_d52,12119.984465625488,21.19124484202859,291.6736512612219,0.026128799425978635,18348.107337849287,441.52083095381704,33.78662109375,0,131.48446562548816,199.05067497395066,0.45079308692073505,0.4508296347964867
60591.18539422338,i,682810,182,v682810_d182,12338.09468676904,21.17187975288622,284.20471964360996,0.025009643831887824,18705.241729881243,430.84213183776654,32.90684509277344,0,349.7946867690407,530.3083124219447,1.2307842290855688,1.230864563221575
60591.190322222224,i,682821,55,v682821_d55,12537.669919127,21.15445792018521,274.8555262659744,0.02380191836838503,18985.786928576705,416.1576486850582,29.850618362426758,0,549.3699191270007,831.910578025534,1.9987588628484843,1.9990274855073284
60595.24032821992,i,685793,184,v685793_d184,13307.62502788449,21.089748612124303,351.2542186234801,0.028657962741993923,20086.7933729936,530.1489175957239,52.17372512817383,0,1799.7250278844895,2716.540681569557,5.123710783993938,5.124108701172736
60597.23336821991,i,687428,28,v687428_d28,11050.718503643671,21.291523709466816,525.5688268695305,0.051637285235015006,16403.533247890762,780.1364655463328,93.244140625,0,210.61850364367092,312.63918504495086,0.4007439042726097,0.4007493545709446
60603.29762222223,i,692583,126,v692583_d126,8008.62789276944,21.641104711550682,349.8828780754661,0.04743390668637278,12133.832545143774,530.0726912254987,27.138019561767578,0,65.77789276943986,99.65976028894693,0.18799974760483207,0.18801149717511212
60603.311621224544,i,692613,141,v692613_d141,7725.052694319501,21.680246373682046,350.95787170001097,0.04932622245149965,11706.402275796165,531.8083529245421,27.46819496154785,0,-212.36730568049916,-321.81749547818436,-0.6051076861499344,-0.6051380985432676
60604.29731422338,i,693405,142,v693405_d142,8647.183282848799,21.557813339410057,427.058013329798,0.05362120027268411,13012.293695070543,642.6209077063355,61.83626174926758,0,1072.6232828487982,1614.085040649341,2.5116570802301252,2.5117219519209053
60604.31790722223,i,693448,114,v693448_d114,8677.317149748555,21.55403632276191,427.8978008999876,0.0535400661697567,13023.847817099617,642.2184910636428,62.08147048950195,0,1109.9271497485543,1665.8976544162688,2.593907113834355,2.5939733557923685
60604.31976422338,i,693452,174,v693452_d174,7500.305065838766,21.712302679615426,424.66119502246465,0.06147350409675379,11279.336865297228,638.6171149037514,60.89668655395508,0,-66.4349341612342,-99.90820312646974,-0.1564422060219554,-0.1564446063139528
60570.26115722222,y,667146,24,v667146_d24,-260.9587254036241,,1292.9668051338756,5.379474741505625,-129.04173630282475,639.3604239960976,70.57307434082031,0,-572.6797254036242,-283.184959603126,-0.44291912455117366,-0.4429191250737385
60574.224796224524,y,669788,165,v669788_d165,4314.789490353996,22.31260096940135,1379.073890218249,0.3470181928907377,2127.163968478468,679.8745230010617,82.00340270996094,0,2258.9994903539964,1113.6724819217109,1.6380554416823108,1.6380559121495009
60597.15457022107,y,687264,93,v687264_d93,6584.772804111888,21.85364801250823,1701.0577869301194,0.28048044793625476,3183.100320660825,822.296426228078,128.96414184570312,0,2064.312804111888,997.8954390969352,1.2135465473147335,1.2135470947798475
60578.31825022106,r,671755,119,v671755_d119,6418.007043484481,21.881499526552215,247.18425002072016,0.0418162348023497,12906.054346872841,497.0581902113558,83.62130737304688,0,-183.162956515519,-368.3247860444444,-0.7409976829032003,-0.7410093894395499
60578.351166224544,r,671824,80,v671824_d80,7110.272788465613,21.770284342671808,245.99670786367702,0.037563612525833914,14353.670771688869,496.58806194455,77.7350082397461,0,480.1527884656134,969.2954476970463,1.9518667247030708,1.9519104907626226
60578.377732222216,r,671875,7,v671875_d7,6000.546923720432,21.95452290940391,252.3433518473638,0.04565889020010051,12073.447871514965,507.72348885723943,85.08067321777344,0,-652.9730762795689,-1313.8196398064429,-2.5876373262828656,-2.5876676353176555
60583.2976632199,r,676160,152,v676160_d152,10404.510145558941,21.356945904942425,216.296310521877,0.022571051592414272,21089.434396766894,438.40543539561486,64.37177276611328,0,-109.7898544410582,-222.5386779649525,-0.5075900470801311,-0.5076093040774796
60583.32928422338,r,676221,85,v676221_d85,11237.87540362425,21.273289468291537,217.08615526423378,0.020973563939506727,22834.346429584915,441.07691603911707,64.42759704589844,0,704.8754036242499,1432.2430689041794,3.2469846028010716,3.2471503649879523
60584.20400321992,r,676797,25,v676797_d25,10900.896956604422,21.30634441402986,204.63778282963938,0.020382052097553248,22254.16126379731,417.74379442142526,49.70439529418945,0,-112.80304339557915,-230.28720744410748,-0.5512327285596498,-0.5512642210832959
60584.229031224524,r,676851,82,v676851_d82,10786.765893005128,21.317771866828114,199.6382356320611,0.02009448081378326,22036.817580774965,407.7970868411296,48.18125915527344,0,-239.53410699487176,-489.35607508113026,-1.1998408332777488,-1.1999989476917832
60605.19969522106,r,694006,20,v694006_d20,,,,,,,34.65940475463867,1,,,,
60605.26371821991,r,694139,158,v694139_d158,7579.60827674641,21.70088309662022,232.1610463253272,0.03325576258383337,15491.65835140114,474.45906461936954,32.9998664855957,0,-243.97172325358952,-498.64405204720606,-1.0508727760974683,-1.0509738125611294
60605.31141122454,r,694239,142,v694239_d142,7574.397829432949,21.70162972051287,234.3528259314486,0.03359281536710653,15519.022252765766,480.12849344299815,32.580387115478516,0,-228.60217056705096,-468.3781142673288,-0.9754615488781015,-0.9755265947842264
60606.210164223376,r,694824,147,v694824_d147,7452.083804279779,21.71930567445169,204.50234833900828,0.02979510287071696,15165.288054262197,416.16107993482547,59.431453704833984,0,28.823804279778415,58.65759245375193,0.14094607966064296,0.14094925085963886
60606.221845221065,r,694850,128,v694850_d128,7053.545964496688,21.778981248069083,218.52386777406755,0.033636879385248786,14371.923355064322,445.24301775202423,53.97590637207031,0,-364.8840355033126,-743.4679547188989,-1.6697674227538715,-1.6698026135762325
60606.23864722223,r,694887,181,v694887_d181,7349.051694833732,21.734421744218565,231.44219312252542,0.03419286988529395,14940.991739450255,470.5241734168216,57.51850128173828,0,-62.42830516626782,-126.91988443251648,-0.26973605946266804,-0.26974147472776583
60648.08589722223,r,722452,57,v722452_d57,1017.4777514756672,23.881187696084837,154.35679513070778,0.16471196611501598,2079.7879697989197,315.5141085422748,31.45819664001465,0,-207.3722485243327,-423.8818068754322,-1.3434604440234197,-1.3434638749875032
60585.18848122454,u,677633,130,v677633_d130,3589.7692636036954,22.51233366320886,242.7921781514386,0.07343320383396221,1541.7618927144943,104.27452182537276,46.80819320678711,0,251.07926360369538,107.83546580550728,1.0341324235210239,1.0341497032812865
60612.13160222222,u,699457,29,v699457_d29,-417419.22251778067,,277.97017347572165,0.0007230196045239221,-179395.67748998085,86.29848721804066,20.947847366333008,0,-417685.9605177807,-179510.31438651306,-1502.6287003927853,-2080.1096308092233
60601.337435221074,z,691019,178,v691019_d178,5886.403396543756,21.975374947295983,609.3643844992342,0.11239613216611022,6243.271021129642,646.3018883217019,35.7684211730957,0,202.06339654375552,214.31364163953185,0.3315969913630708,0.33159990015819907
60625.05491122452,z,707632,80,v707632_d80,3742.09673555652,22.4672124747628,628.1460829922547,0.18225101924850942,3944.9875250559803,662.2021427327895,65.67349243164062,0,-321.77326444348,-339.2193211000217,-0.5122586499475912,-0.512259473670871
60625.068296224534,z,707661,54,v707661_d54,3941.815185361841,22.410759354415354,629.265672582653,0.1733253567218538,4140.502814585293,660.9830971139093,67.33568572998047,0,-120.58481463815906,-126.66290552120427,-0.19162782889975688,-0.19162805535309485
60625.06874922339,z,707662,94,v707662_d94,5512.348153176352,22.046658401812934,613.9571285526828,0.12092768165502751,5820.195680670029,648.2406503783722,62.68632125854492,0,1449.998153176352,1530.976047518625,2.361725413294765,2.361740268255328
60630.23520922338,z,711856,119,v711856_d119,3691.671133253493,22.48194248591838,909.5544720778646,0.26750384443488684,3850.1884320180156,948.609617776093,90.2978515625,0,421.80113325349294,439.9129243220045,0.4637447741748706,0.4637449548037792
60631.238299223376,z,712573,160,v712573_d160,3902.2008863805554,22.42172594191496,791.3017475765564,0.22016933039783515,4084.7238977306124,828.313431626527,79.23737335205078,0,786.8508863805555,823.6553455684248,0.9943752668187172,0.9943764209534122
60651.05015622452,z,724499,164,v724499_d164,1594.6754628001675,23.393319220476446,492.5214432759224,0.3353336619636737,1684.7330203923268,520.3356494580314,53.59357833862305,0,221.78546280016735,234.31055493029476,0.45030620661914567,0.4503065572661546
60610.10417022106,g,697808,140,v697808_d140,2522.5600514410103,22.895396215652273,100.10053837973047,0.043084317684555846,5995.592361285549,237.91259569097437,35.07229995727539,0,30.15005144101042,71.66030319429228,0.30119769512763733,0.301204326682107
60610.10506622454,g,697810,62,v697810_d62,2601.60806710822,22.86189532354152,98.28048976528858,0.04101566539119125,6182.7234300889595,233.55724386998733,32.98142623901367,0,109.40806710822017,260.0083496445368,1.113222648457555,1.113253202239678
60610.12440722224,g,697846,72,v697846_d72,2508.2700836639588,22.901564254202945,95.73343979390565,0.041439421642522505,5967.0855452977785,227.74069351350764,30.62184715270996,0,20.620083663958667,49.05444751560299,0.21539060654614997,0.2153960575020972
