mjd,filter,visit,detector,DBid,img_mask_area,x_image,y_image,in_ccd,matched,delta_flux,delta_ABmag,instFlux,instFluxErr,psf_eq_NA_px
60568.30176622454,i,665656,179,v665656_d179,0.0,2983.3264672967493,20.127354728596856,1,0,202.382,25.63457029144203,306.54565188181834,398.10344507114314,30.55810494991253
60568.30221422338,i,665657,183,v665657_d183,0.0,1340.5224987503793,1343.8743361745803,1,0,202.436,25.634280631617592,306.5451887684533,401.3762363600658,31.054752144688646
60568.32015222223,i,665696,172,v665696_d172,0.0,2547.624151361845,960.9131918892806,1,0,204.617,25.62264571762164,309.90655386928375,403.05255329432964,31.806367333438235
60586.19156922338,i,678507,133,v678507_d133,0.0,2574.7340161429547,2152.212595347255,1,1,11151.4,21.28167651447527,16891.35789598985,310.58650250259177,33.49177612535532
60586.2091632199,i,678546,97,v678546_d97,0.0,156.28363628414513,2914.847319325576,1,1,11157.9,21.281043837920592,16916.270781936357,297.4913799141032,33.47053809023492
60587.23074821991,i,679456,26,v679456_d26,0.0,3307.912217096613,3277.5156762834054,1,1,11490.7,21.24913378448527,17381.183137306423,319.4381353285261,41.27880038533877
60591.16761622454,i,682771,52,v682771_d52,0.0,2231.09571251111,3429.0352749927324,1,1,11988.5,21.203087880967498,18149.056662875337,320.63518824474687,34.00483330018139
60591.18539422338,i,682810,182,v682810_d182,0.0,324.33928887889556,2342.43044946941,1,1,11988.3,21.20310599408025,18174.9334174593,304.143047787966,33.09528019340187
60591.190322222224,i,682821,55,v682821_d55,0.0,2104.7970554717385,1568.702536083059,1,1,11988.3,21.20310599408025,18153.87635055117,288.1518317721881,29.830237562125486
60595.24032821992,i,685793,184,v685793_d184,0.0,3317.166856100577,3667.93475091784,1,1,11507.9,21.247509801616445,17370.252691424044,430.14249924703233,52.2422151004792
60597.23336821991,i,687428,28,v687428_d28,0.0,3841.0135259414706,800.4240092763675,1,1,10840.1,21.312416778523627,16090.894062845811,714.8618969499004,92.08851906864264
60603.29762222223,i,692583,126,v692583_d126,0.0,1300.7904112104238,3804.78728258091,1,1,7942.85,21.650059097462414,12034.172784854827,440.87399448502225,27.278523251510464
60603.311621224544,i,692613,141,v692613_d141,0.0,1155.656305328807,2716.578946558711,1,1,7937.42,21.65080159715815,12028.21977127435,442.42772644962,27.41496581884479
60604.29731422338,i,693405,142,v693405_d142,0.0,3857.8935137361914,1394.9989595415782,1,1,7574.56,21.701606474761185,11398.208654421202,570.016016523627,62.521755675115735
60604.31790722223,i,693448,114,v693448_d114,0.0,2568.44443078983,1484.0895461336422,1,1,7567.39,21.702634708135346,11357.950162683348,568.8461292145189,62.1018843097634
