mjd,filter,visit,detector,DBid,img_mask_area,x_image,y_image,in_ccd,matched,delta_flux,delta_ABmag,instFlux,instFluxErr,psf_eq_NA_px
61327.17668622454,r,1192126,75,v1192126_d75,0.0,1881.4569048317362,2549.2414603967036,1,0,65.7004,26.856079965854583,134.0997584503422,258.8637784838243,49.893396679855705
61328.210415221074,r,1193023,50,v1193023_d50,0.0,430.9578871585675,1260.8812702039834,1,0,121.76,26.18623840143375,248.74136444410047,257.4268871520045,51.826679368412506
61373.2597932199,r,1218555,179,v1218555_d179,0.0,3097.7283096830165,3756.3929395818996,1,0,2845.18,22.764725632017715,5818.258755464026,447.7369826576098,45.094225570391785
61375.211654223385,r,1219886,159,v1219886_d159,0.0,600.9283126038742,1471.5460104648878,1,0,2542.78,22.886728032827676,5205.522764150824,254.60852603848264,36.75889495498656
61389.14461622452,r,1228800,103,v1228800_d103,0.0,2014.5025663832141,1083.993895215263,1,0,1149.45,23.74877478846908,2344.643671293383,268.10926286566666,51.059244392071435
61404.19594922338,r,1234003,28,v1234003_d28,0.0,1473.5401867802195,3803.9977048955216,1,0,623.672,24.412609383332402,1275.730270744179,328.50788638840197,45.57409250518788
61332.30517321991,i,1196406,77,v1196406_d77,0.0,2693.533437015707,2391.9795953238918,1,1,940.903,23.966137866873236,1425.9271679269973,285.0431293059117,35.86359273948532
61334.228442222215,i,1197816,108,v1197816_d108,0.0,1703.7767376722243,3140.2008681684792,1,0,1683.84,23.334247944826025,2548.0155465678695,391.2017531488368,38.36017836274323
61334.22889122454,i,1197817,94,v1197817_d94,0.0,1371.4672628553412,307.4979247844519,1,0,1684.03,23.3341254401693,2544.7780854647312,392.86981205838276,38.71066128943048
61334.24788522106,i,1197853,97,v1197853_d97,0.0,997.6262521939931,3397.1298247105087,1,0,1691.86,23.32908894328832,2568.1341984807673,382.08597646632825,37.21234403938105
61336.33848722222,i,1198840,32,v1198840_d32,0.0,1992.797833963364,2322.273430735353,1,0,2540.08,22.88788151257277,3836.3140190218833,420.91420335156613,44.9707391119043
61355.22487321992,i,1205981,29,v1205981_d29,0.0,2380.9864398292384,3856.9857327032546,1,0,6683.59,21.83747549860691,10146.135276148721,284.58075439429604,31.440986049678106
61364.221587222215,i,1212011,181,v1212011_d181,0.0,851.7135556382157,936.4848211030969,1,0,5597.05,22.0301020335072,8473.676882696493,418.576891023156,37.63851871658639
61364.245325221076,i,1212058,131,v1212058_d131,0.0,3780.921212875217,3644.293005615023,1,0,5592.61,22.030963662725984,8456.620163634523,410.09213395924223,41.648367932581706
61364.245773219904,i,1212059,110,v1212059_d110,0.0,3143.9844739970686,739.3091471456748,1,1,5592.52,22.03098113525575,8475.491732019638,389.66749326275607,37.53490767327271
61365.27712422338,i,1212833,182,v1212833_d182,0.0,1391.0187426128855,2755.4896896666164,1,0,5395.31,22.069958992178556,8023.029311799975,616.5914080769421,84.67793098199822
61371.26314522106,i,1217152,93,v1217152_d93,0.0,1762.521108353798,365.73040696486305,1,0,4125.18,22.36139274123896,6255.893787712413,452.73071529068767,32.62388949969261
61391.061261224524,i,1229644,188,v1229644_d188,0.0,2547.254229229132,300.57123791878735,1,0,2282.43,23.004006332490626,3451.0166858929333,348.86866335049945,42.71024589246122
61391.08021722224,i,1229685,108,v1229685_d108,0.0,2671.5520726637737,90.34376956925257,1,0,2280.92,23.00472486678189,3453.837976961282,344.1143652780671,40.96554830718609
61393.20408722223,i,1231296,142,v1231296_d142,0.0,1698.1222325225654,813.252331115473,1,1,2108.94,23.089839439745145,3197.54781714865,309.2551273314768,25.846637563147635
61394.16241922338,i,1231906,157,v1231906_d157,0.0,3207.6183308372374,3826.415584878879,1,0,2030.14,23.131185029439912,3079.8935246554747,407.3119736232179,30.05522731691789
61394.18031821992,i,1231943,143,v1231943_d143,0.0,3495.862275273399,2261.336000915403,1,0,2028.68,23.13196613080795,3077.629110080008,423.4647445592238,32.74524737869387
61334.12633922338,z,1197612,76,v1197612_d76,0.0,1919.0541313387173,1363.7743269608168,1,0,1482.75,23.472330168236567,1568.4062844331831,513.4534925896794,50.56331455331328
61334.14455122452,z,1197652,78,v1197652_d78,0.0,3337.6228120351193,3726.6801396803585,1,0,1488.86,23.467865344414047,1578.7051344028441,488.8572277998965,45.44286201890573
61363.04728422338,z,1210959,71,v1210959_d71,0.0,2070.3171253936935,3277.0435277347487,1,0,4468.9,22.27449840845656,4662.037178056374,673.417470588444,90.16551855060906
61363.04773422338,z,1210960,167,v1210960_d167,0.0,1721.29673318107,1532.3456940068052,1,0,4468.81,22.274520274518096,4657.197911301494,681.2864902547851,91.94020639195895
